timestamp,temp,pressure,humidity,wind_speed,weather_code
1751778000,21.44,1012,53,5.36,802
1751781600,23.22,1011,49,5.84,803
1751785200,24.99,1011,48,5.81,804
1751788800,25.2,1010,43,5.6,804
1751792400,27.95,1010,40,5.33,804
1751796000,27.54,1010,37,5.56,804
1751799600,28.95,1009,34,5.83,804
1751803200,29.56,1009,34,5.88,804
1751806800,30.12,1009,35,6.48,804
1751810400,29.56,1009,33,5.24,803
1751814000,30.17,1008,34,4.73,803
1751817600,29.06,1008,38,5.05,803
1751821200,26.28,1007,49,5.81,803
1751824800,25.17,1007,53,3.16,803
1751828400,22.63,1008,63,2.87,803
1751832000,21.54,1008,62,4.76,803
1751835600,21.17,1008,59,2.48,803
1751839200,20.03,1007,60,3.4,804
1751842800,20.73,1007,58,3.69,804
1751846400,20.17,1006,58,3.84,804
1751850000,19.61,1006,60,3.9,801
1751853600,19.06,1005,61,3.93,801
1751857200,18.5,1005,62,4.11,802
1751860800,19.06,1004,63,4.69,803
1751864400,20.17,1003,62,5.4,803
1751868000,23.5,1003,56,6.28,803
1751871600,25.17,1003,53,6.37,804
1751875200,25.17,1003,53,5.92,500
1751878800,24.61,1003,55,4.79,804
1751882400,28.09,1002,56,4.86,804
1751886000,26.84,1002,51,4.7,804
1751889600,28.5,1002,48,6.83,804
1751893200,29.61,1001,46,7.39,804
1751896800,29.61,1001,47,5.79,804
1751900400,27.95,1000,51,5.17,500
1751904000,25.17,1001,73,6.32,804
1751907600,24.06,1001,76,4.36,804
1751911200,22.05,1001,69,3.97,804
1751914800,20.96,1001,81,2.59,804
1751918400,19.52,1001,77,1.37,500
1751922000,18.35,1001,84,2.14,501
1751925600,20.17,1002,88,1.93,500
1751929200,19.06,1002,88,2.09,804
1751932800,18.5,1002,87,2.65,804
1751936400,17.39,1002,87,2.05,804
1751940000,17.39,1002,88,2.4,804
1751943600,16.84,1003,88,2.16,804
1751947200,16.84,1003,90,2.39,804
1751950800,17.39,1004,90,2.38,804
1751954400,19.06,1005,88,3.01,804
1751958000,20.73,1005,81,3.01,803
1751961600,21.84,1005,76,3.06,803
1751965200,23.5,1005,67,3.15,804
1751968800,23.5,1005,64,2.87,803
1751972400,24.61,1005,58,2.84,803
1751976000,25.73,1005,56,2.65,803
1751979600,23.94,1006,52,2.02,804
1751983200,23.87,1005,51,1.86,804
1751986800,23.22,1005,52,2.17,804
1751990400,22.09,1005,54,1.5,804
1751994000,21.64,1006,55,1.87,804
1751997600,20.42,1006,60,1.38,804
1752001200,19.38,1006,68,1.39,804
